125;;;;;21;;;;;818;;;;;NULL;;;;;NULL;;;;;1;;;;;1
126;;;;;21;;;;;1111;;;;;NULL;;;;;NULL;;;;;1;;;;;1
127;;;;;22;;;;;301;;;;;NULL;;;;;NULL;;;;;0.3;;;;;1
128;;;;;23;;;;;145;;;;;NULL;;;;;NULL;;;;;56.5;;;;;1
129;;;;;24;;;;;485;;;;;NULL;;;;;NULL;;;;;2;;;;;1
130;;;;;24;;;;;469;;;;;NULL;;;;;NULL;;;;;0.89;;;;;1
131;;;;;24;;;;;660;;;;;NULL;;;;;NULL;;;;;1;;;;;1
132;;;;;24;;;;;405;;;;;NULL;;;;;NULL;;;;;0.2;;;;;1
133;;;;;24;;;;;450;;;;;NULL;;;;;NULL;;;;;0.07;;;;;1
134;;;;;24;;;;;414;;;;;NULL;;;;;NULL;;;;;0.33;;;;;1
135;;;;;24;;;;;679;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
136;;;;;24;;;;;476;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
137;;;;;24;;;;;683;;;;;NULL;;;;;NULL;;;;;1;;;;;1
138;;;;;25;;;;;531;;;;;NULL;;;;;NULL;;;;;1;;;;;1
139;;;;;26;;;;;240;;;;;NULL;;;;;NULL;;;;;0.31;;;;;1
140;;;;;26;;;;;712;;;;;NULL;;;;;NULL;;;;;0.2;;;;;1
141;;;;;26;;;;;1052;;;;;NULL;;;;;NULL;;;;;12.49;;;;;1
142;;;;;27;;;;;485;;;;;NULL;;;;;NULL;;;;;2;;;;;1
143;;;;;27;;;;;469;;;;;NULL;;;;;NULL;;;;;0.89;;;;;1
144;;;;;27;;;;;660;;;;;NULL;;;;;NULL;;;;;1;;;;;1
145;;;;;27;;;;;405;;;;;NULL;;;;;NULL;;;;;0.2;;;;;1
146;;;;;27;;;;;450;;;;;NULL;;;;;NULL;;;;;0.07;;;;;1
147;;;;;27;;;;;414;;;;;NULL;;;;;NULL;;;;;0.33;;;;;1
148;;;;;27;;;;;679;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
149;;;;;27;;;;;476;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
150;;;;;27;;;;;683;;;;;NULL;;;;;NULL;;;;;1;;;;;1
151;;;;;28;;;;;531;;;;;NULL;;;;;NULL;;;;;1;;;;;1
152;;;;;29;;;;;298;;;;;NULL;;;;;NULL;;;;;4;;;;;1
153;;;;;29;;;;;281;;;;;NULL;;;;;NULL;;;;;1;;;;;1
154;;;;;29;;;;;240;;;;;NULL;;;;;NULL;;;;;0.32;;;;;1
155;;;;;29;;;;;42;;;;;NULL;;;;;NULL;;;;;2;;;;;1
156;;;;;29;;;;;119;;;;;NULL;;;;;NULL;;;;;1;;;;;1
157;;;;;29;;;;;1035;;;;;NULL;;;;;NULL;;;;;0.09;;;;;1
158;;;;;29;;;;;1173;;;;;NULL;;;;;NULL;;;;;2;;;;;1
159;;;;;29;;;;;1174;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
160;;;;;30;;;;;271;;;;;NULL;;;;;NULL;;;;;14.22;;;;;1
